codigo_municipio,nome_do_municipio,regiao,estado,populacao_muni,quanti_psis_muni,prop_psi_muni
110001,Alta Floresta D'Oeste,Norte,RO,22787,6,3797.8333333333335
110002,Ariquemes,Norte,RO,109170,16,6823.125
110003,Cabixi,Norte,RO,5664,1,5664
110004,Cacoal,Norte,RO,98280,48,2047.5
110005,Cerejeiras,Norte,RO,16966,4,4241.5
110006,Colorado do Oeste,Norte,RO,16508,2,8254
110007,Corumbiara,Norte,RO,7968,2,3984
110009,Espigão D'Oeste,Norte,RO,32842,14,2345.8571428571427
110010,Guajará-Mirim,Norte,RO,43594,9,4843.777777777777
110011,Jaru,Norte,RO,55682,23,2420.9565217391305
110012,Ji-Paraná,Norte,RO,140101,35,4002.885714285714
110013,Machadinho D'Oeste,Norte,RO,34149,2,17074.5
110014,Nova Brasilândia D'Oeste,Norte,RO,16374,3,5458
110015,Ouro Preto do Oeste,Norte,RO,38684,10,3868.4
110018,Pimenta Bueno,Norte,RO,39220,12,3268.3333333333335
110020,Porto Velho,Norte,RO,517709,176,2941.528409090909
110025,Presidente Médici,Norte,RO,20443,4,5110.75
110026,Rio Crespo,Norte,RO,3767,2,1883.5
110028,Rolim de Moura,Norte,RO,62959,7,8994.142857142857
110029,Santa Luzia D'Oeste,Norte,RO,7837,6,1306.1666666666667
110030,Vilhena,Norte,RO,109651,43,2550.0232558139537
110032,São Miguel do Guaporé,Norte,RO,22305,3,7435
110033,Nova Mamoré,Norte,RO,28701,2,14350.5
110034,Alvorada D'Oeste,Norte,RO,13720,1,13720
110037,Alto Alegre dos Parecis,Norte,RO,12237,2,6118.5
110040,Alto Paraíso,Norte,RO,17467,4,4366.75
110045,Buritis,Norte,RO,30649,8,3831.125
110050,Novo Horizonte do Oeste,Norte,RO,7972,2,3986
110060,Cacaulândia,Norte,RO,4292,1,4292
110080,Candeias do Jamari,Norte,RO,24313,3,8104.333333333333
110090,Castanheiras,Norte,RO,3450,2,1725
110092,Chupinguaia,Norte,RO,10191,5,2038.2
110094,Cujubim,Norte,RO,15877,1,15877
110100,Governador Jorge Teixeira,Norte,RO,8340,1,8340
110130,Mirante da Serra,Norte,RO,9657,1,9657
